,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
124,NickRichards,45,25.9,0.718,9.7,12.5,0.0,0.0,0.0,0.0,16.77,103.7,3.5
125,DejounteMurray,52,35.0,0.56,19.9,8.6,0.0,0.0,0.0,0.0,16.74,0.0,0.0
126,JonathanKuminga,51,25.6,0.601,11.4,9.9,0.0,0.0,0.0,0.0,16.64,0.0,0.0
127,DarioSaric,50,19.3,0.616,21.6,10.6,0.0,0.0,0.0,0.0,16.64,0.0,0.0
128,DanteExum,32,19.7,0.663,26.7,7.9,0.0,0.0,0.0,0.0,16.63,0.0,0.0
129,OnyekaOkongwu,53,25.8,0.675,13.7,8.7,0.0,0.0,0.0,0.0,16.6,0.0,0.0
130,DuopReath,39,17.4,0.605,12.4,8.0,0.0,0.0,0.0,0.0,16.56,60.4,2.0
131,JordanFord,6,3.7,0.761,18.4,9.2,0.0,0.0,0.0,0.0,16.54,1.9,0.1
132,DerrickWhite,51,32.3,0.611,24.8,8.5,0.0,0.0,0.0,0.0,16.47,0.0,0.0
133,BenSimmons,12,25.7,0.584,45.0,14.4,0.0,0.0,0.0,0.0,16.42,0.0,0.0
134,D'AngeloRussell,51,31.2,0.588,27.4,8.4,0.0,0.0,0.0,0.0,16.34,0.0,0.0
135,BobanMarjanovic,9,5.3,0.486,13.5,6.7,0.0,0.0,0.0,0.0,16.32,4.1,0.1
136,AaronGordon,49,31.7,0.596,19.1,8.7,0.0,0.0,0.0,0.0,16.31,0.0,0.0
137,MilesBridges,43,37.0,0.565,13.9,8.0,0.0,0.0,0.0,0.0,16.18,0.0,0.0
138,ScottyPippenJr.,8,22.6,0.615,30.2,12.6,0.0,0.0,0.0,0.0,16.17,14.5,0.5
139,DeAndreJordan,29,11.3,0.605,14.6,13.9,0.0,0.0,0.0,0.0,16.12,26.9,0.9
140,ThaddeusYoung,23,15.2,0.618,32.6,7.2,0.0,0.0,0.0,0.0,16.09,0.0,0.0
141,MitchellRobinson,21,29.2,0.567,10.0,13.9,0.0,0.0,0.0,0.0,16.09,50.2,1.7
142,FredVanVleet,47,36.7,0.557,33.3,6.5,0.0,0.0,0.0,0.0,16.07,0.0,0.0
143,JohnCollins,51,27.8,0.603,7.9,9.7,0.0,0.0,0.0,0.0,16.07,0.0,0.0
144,MikalBridges,54,35.2,0.573,14.8,9.0,0.0,0.0,0.0,0.0,16.03,0.0,0.0
145,NoahClowney,7,9.9,0.703,20.2,10.1,0.0,0.0,0.0,0.0,16.0,5.4,0.2
146,MalikMonk,53,25.8,0.581,25.8,10.7,0.0,0.0,0.0,0.0,15.99,0.0,0.0
147,IsaiahMobley,3,4.7,0.625,44.4,11.1,0.0,0.0,0.0,0.0,15.98,1.1,0.0
148,CraigPorter,32,14.7,0.559,29.4,10.7,0.0,0.0,0.0,0.0,15.95,36.1,1.2
149,AustinReaves,56,31.1,0.619,26.8,10.3,0.0,0.0,0.0,0.0,15.92,0.0,0.0
150,JeramiGrant,46,34.0,0.578,11.5,8.8,0.0,0.0,0.0,0.0,15.91,0.0,0.0
151,DevinVassell,50,31.7,0.579,17.2,6.4,0.0,0.0,0.0,0.0,15.91,0.0,0.0
152,JalenJohnson,41,34.0,0.598,18.2,9.7,0.0,0.0,0.0,0.0,15.88,0.0,0.0
153,JamesBouknight,14,5.8,0.597,12.0,4.0,0.0,0.0,0.0,0.0,15.81,0.0,0.0
154,BobbyPortis,55,24.0,0.572,8.3,7.2,0.0,0.0,0.0,0.0,15.81,98.5,3.3
155,AlexLen,22,8.3,0.622,28.0,17.8,0.0,0.0,0.0,0.0,15.8,14.2,0.5
156,ShaquilleHarrison,3,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0,0.0
157,ChrisBoucher,46,13.9,0.607,6.8,7.8,0.0,0.0,0.0,0.0,15.74,0.0,0.0
158,RJBarrett,45,31.2,0.568,13.3,8.8,0.0,3.3,0.0,9.5,15.71,0.0,0.0
159,ImmanuelQuickley,50,27.2,0.571,20.6,6.1,0.0,1.0,0.0,6.4,15.7,0.0,0.0
160,TreMann,16,13.1,0.586,31.2,11.9,0.0,3.8,0.0,12.0,15.68,0.0,0.0
161,NazReid,54,22.5,0.606,8.5,9.9,0.0,0.0,0.0,0.0,15.68,92.1,3.1
162,AmenThompson,35,19.2,0.552,22.7,14.0,0.0,0.0,0.0,0.0,15.66,48.8,1.6
163,GGJackson,22,19.0,0.567,7.5,7.5,0.0,0.0,0.0,0.0,15.64,30.1,1.0
164,KevonLooney,52,18.2,0.636,31.2,11.0,0.0,0.0,0.0,0.0,15.58,67.5,2.2
165,KyleKuzma,52,31.7,0.543,15.4,9.8,0.0,0.0,0.0,0.0,15.52,0.0,0.0
166,CadeCunningham,44,34.0,0.539,23.8,11.4,0.0,0.0,0.0,0.0,15.49,0.0,0.0
