RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
,NormanPowell,53,25.2,.637,7.8,6.9,0.0,0.0,0.0,0.0,14.06,0.0,0.0
224,JordanMcLaughlin,32,8.9,.516,37.2,7.7,0.0,0.0,0.0,0.0,14.05,0.0,0.0
225,KrisDunn,47,17.9,.552,40.9,12.0,0.0,0.0,0.0,0.0,14.04,0.0,0.0
226,DelonWright,33,13.8,.497,36.0,4.8,0.0,0.0,0.0,0.0,14.02,0.0,0.0
,SandroMamukelashvili,30,6.5,.504,24.9,7.4,0.0,0.0,0.0,0.0,14.02,0.0,0.0
228,DennisSmithJr.,38,20.0,.507,32.4,10.0,0.0,0.0,0.0,0.0,14.01,0.0,0.0
229,OshaeBrissett,36,11.1,.566,17.8,6.8,0.0,0.0,0.0,0.0,13.94,0.0,0.0
230,MarcusSasser,49,16.4,.583,28.7,9.4,0.0,0.0,0.0,0.0,13.87,36.7,1.2
231,AaronNesmith,51,27.1,.651,11.7,8.1,0.0,0.0,0.0,0.0,13.85,0.0,0.0
,ChimezieMetu,37,12.1,.621,9.7,13.9,0.0,0.0,0.0,0.0,13.85,0.0,0.0
233,DerrickRose,21,17.3,.540,27.1,9.5,0.0,0.0,0.0,0.0,13.81,0.0,0.0
234,TalenHorton-Tucker,35,20.6,.511,25.1,9.7,0.0,0.0,0.0,0.0,13.80,0.0,0.0
235,BojanBogdanovic,30,32.6,.596,11.4,10.1,0.0,1.5,0.0,5.8,13.74,0.0,0.0
236,PaytonPritchard,55,20.7,.579,26.9,5.6,0.0,0.0,0.0,0.0,13.73,0.0,0.0
237,IsaiahJoe,50,18.6,.640,13.4,7.2,0.0,0.0,0.0,0.0,13.69,0.0,0.0
238,JeremiahRobinson-Earl,21,10.0,.621,12.2,11.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0
239,BrandinPodziemski,46,26.3,.548,27.1,9.0,0.0,0.0,0.0,0.0,13.66,51.6,1.7
240,MarkelleFultz,21,24.0,.500,27.8,8.7,0.0,0.0,0.0,0.0,13.64,0.0,0.0
241,UdokaAzubuike,14,7.6,.652,8.9,11.8,0.0,0.0,0.0,0.0,13.63,4.8,0.2
242,DennisSchroder,54,30.3,.553,30.6,8.3,0.0,1.5,0.0,5.1,13.58,0.0,0.0
,HerbertJones,50,28.7,.628,19.6,10.0,0.0,0.0,0.0,0.0,13.58,0.0,0.0
244,SashaVezenkov,35,12.6,.574,7.6,5.6,0.0,0.0,0.0,0.0,13.57,18.2,0.6
,BraxtonKey,15,3.4,.482,30.0,3.8,0.0,0.0,0.0,0.0,13.57,2.1,0.1
246,GraysonAllen,49,32.9,.690,23.0,9.8,0.0,0.0,0.0,0.0,13.56,0.0,0.0
247,GaryPaytonII,19,16.1,.585,15.9,8.7,0.0,0.0,0.0,0.0,13.55,0.0,0.0
248,JadenIvey,50,27.7,.559,18.4,12.5,0.0,0.0,0.0,0.0,13.53,0.0,0.0
249,OGAnunoby,41,34.2,.609,13.9,9.3,0.0,3.0,0.0,6.8,13.52,0.0,0.0
250,BuddyHield,56,26.6,.595,20.1,8.8,0.0,2.7,0.0,7.0,13.51,0.0,0.0
